Entry	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
P00805	reviewed	L-asparaginase 2 (EC 3.5.1.1) (L-asparaginase II) (L-ASNase II) (L-asparagine amidohydrolase II) (Colaspase)	ansB b2957 JW2924	Escherichia coli (strain K12)	348	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]; protein-containing complex [GO:0032991]; asparaginase activity [GO:0004067]; identical protein binding [GO:0042802]; asparagine catabolic process [GO:0006530]; protein homotetramerization [GO:0051289]	asparagine catabolic process [GO:0006530]; protein homotetramerization [GO:0051289]	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]; protein-containing complex [GO:0032991]	asparaginase activity [GO:0004067]; identical protein binding [GO:0042802]	GO:0004067; GO:0006530; GO:0030288; GO:0032991; GO:0042597; GO:0042802; GO:0051289
P00811	reviewed	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase) (CSase)	ampC ampA b4150 JW4111	Escherichia coli (strain K12)	377	outer membrane-bounded periplasmic space [GO:0030288]; beta-lactamase activity [GO:0008800]; antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	outer membrane-bounded periplasmic space [GO:0030288]	beta-lactamase activity [GO:0008800]	GO:0008800; GO:0017001; GO:0030288; GO:0046677
P00864	reviewed	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	ppc glu b3956 JW3928	Escherichia coli (strain K12)	883	cytosol [GO:0005829]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; phosphoenolpyruvate carboxylase activity [GO:0008964]; carbon fixation [GO:0015977]; gluconeogenesis [GO:0006094]; oxaloacetate metabolic process [GO:0006107]; protein homotetramerization [GO:0051289]; tricarboxylic acid cycle [GO:0006099]	carbon fixation [GO:0015977]; gluconeogenesis [GO:0006094]; oxaloacetate metabolic process [GO:0006107]; protein homotetramerization [GO:0051289]; tricarboxylic acid cycle [GO:0006099]	cytosol [GO:0005829]	identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; phosphoenolpyruvate carboxylase activity [GO:0008964]	GO:0000287; GO:0005829; GO:0006094; GO:0006099; GO:0006107; GO:0008964; GO:0015977; GO:0042802; GO:0051289
P00893	reviewed	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)	ilvI b0077 JW0076	Escherichia coli (strain K12)	574	acetolactate synthase complex [GO:0005948]; cytosol [GO:0005829]; acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]; branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	acetolactate synthase complex [GO:0005948]; cytosol [GO:0005829]	acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]	GO:0000287; GO:0003984; GO:0005829; GO:0005948; GO:0009082; GO:0009097; GO:0009099; GO:0030976; GO:0050660
P00894	reviewed	Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III)	ilvH brnP b0078 JW0077	Escherichia coli (strain K12)	163	acetolactate synthase complex [GO:0005948]; cytosol [GO:0005829]; acetolactate synthase activity [GO:0003984]; acetolactate synthase regulator activity [GO:1990610]; branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	acetolactate synthase complex [GO:0005948]; cytosol [GO:0005829]	acetolactate synthase activity [GO:0003984]; acetolactate synthase regulator activity [GO:1990610]	GO:0003984; GO:0005829; GO:0005948; GO:0009082; GO:0009097; GO:0009099; GO:1990610
P00914	reviewed	Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)	phrB phr b0708 JW0698	Escherichia coli (strain K12)	472	damaged DNA binding [GO:0003684]; deoxyribodipyrimidine photo-lyase activity [GO:0003904]; DNA binding [GO:0003677]; FAD binding [GO:0071949]; photoreactive repair [GO:0000719]; phototransduction, visible light [GO:0007603]; response to light stimulus [GO:0009416]	photoreactive repair [GO:0000719]; phototransduction, visible light [GO:0007603]; response to light stimulus [GO:0009416]		damaged DNA binding [GO:0003684]; deoxyribodipyrimidine photo-lyase activity [GO:0003904]; DNA binding [GO:0003677]; FAD binding [GO:0071949]	GO:0000719; GO:0003677; GO:0003684; GO:0003904; GO:0007603; GO:0009416; GO:0071949
P00956	reviewed	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS ilvS b0026 JW0024	Escherichia coli (strain K12)	938	cytosol [GO:0005829]; aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; isoleucyl-tRNA aminoacylation [GO:0006428]; response to antibiotic [GO:0046677]	isoleucyl-tRNA aminoacylation [GO:0006428]; response to antibiotic [GO:0046677]	cytosol [GO:0005829]	aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]	GO:0000049; GO:0002161; GO:0004822; GO:0005524; GO:0005829; GO:0006428; GO:0008270; GO:0046677
P00957	reviewed	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein lactyltransferase) (EC 6.-.-.-)	alaS lovB b2697 JW2667	Escherichia coli (strain K12)	876	cytosol [GO:0005829]; membrane [GO:0016020]; alanine-tRNA ligase activity [GO:0004813]; aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; DNA-binding transcription repressor activity [GO:0001217]; identical protein binding [GO:0042802]; peptide lactyltransferase (ATP-dependent) activity [GO:0141207]; protein homodimerization activity [GO:0042803]; Ser-tRNA(Ala) deacylase activity [GO:0002196]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; alanyl-tRNA aminoacylation [GO:0006419]; negative regulation of DNA-templated transcription [GO:0045892]	alanyl-tRNA aminoacylation [GO:0006419]; negative regulation of DNA-templated transcription [GO:0045892]	cytosol [GO:0005829]; membrane [GO:0016020]	alanine-tRNA ligase activity [GO:0004813]; aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; DNA-binding transcription repressor activity [GO:0001217]; identical protein binding [GO:0042802]; peptide lactyltransferase (ATP-dependent) activity [GO:0141207]; protein homodimerization activity [GO:0042803]; Ser-tRNA(Ala) deacylase activity [GO:0002196]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]	GO:0000049; GO:0001217; GO:0002161; GO:0002196; GO:0004813; GO:0005524; GO:0005829; GO:0006419; GO:0008270; GO:0016020; GO:0042802; GO:0042803; GO:0045892; GO:0141207
P00959	reviewed	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG b2114 JW2101	Escherichia coli (strain K12)	677	cytosol [GO:0005829]; membrane [GO:0016020]; ATP binding [GO:0005524]; methionine-tRNA ligase activity [GO:0004825]; protein homodimerization activity [GO:0042803]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; methionyl-tRNA aminoacylation [GO:0006431]	methionyl-tRNA aminoacylation [GO:0006431]	cytosol [GO:0005829]; membrane [GO:0016020]	ATP binding [GO:0005524]; methionine-tRNA ligase activity [GO:0004825]; protein homodimerization activity [GO:0042803]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]	GO:0000049; GO:0004825; GO:0005524; GO:0005829; GO:0006431; GO:0008270; GO:0016020; GO:0042803
P00962	reviewed	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	glnS b0680 JW0666	Escherichia coli (strain K12)	554	cytosol [GO:0005829]; ATP binding [GO:0005524]; glutamine-tRNA ligase activity [GO:0004819]; glutaminyl-tRNA aminoacylation [GO:0006425]; glutamyl-tRNA aminoacylation [GO:0006424]	glutaminyl-tRNA aminoacylation [GO:0006425]; glutamyl-tRNA aminoacylation [GO:0006424]	cytosol [GO:0005829]	ATP binding [GO:0005524]; glutamine-tRNA ligase activity [GO:0004819]	GO:0004819; GO:0005524; GO:0005829; GO:0006424; GO:0006425
P00963	reviewed	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	asnA b3744 JW3722	Escherichia coli (strain K12)	330	cytosol [GO:0005829]; aspartate-ammonia ligase activity [GO:0004071]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; asparagine biosynthetic process [GO:0006529]; DNA damage response [GO:0006974]; L-asparagine biosynthetic process [GO:0070981]	asparagine biosynthetic process [GO:0006529]; DNA damage response [GO:0006974]; L-asparagine biosynthetic process [GO:0070981]	cytosol [GO:0005829]	aspartate-ammonia ligase activity [GO:0004071]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]	GO:0004071; GO:0005524; GO:0005829; GO:0006529; GO:0006974; GO:0042802; GO:0042803; GO:0070981
P00968	reviewed	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	carB pyrA b0033 JW0031	Escherichia coli (strain K12)	1073	carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; amino acid binding [GO:0016597]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; 'de novo' UMP biosynthetic process [GO:0044205]; amino acid biosynthetic process [GO:0008652]; glutamine metabolic process [GO:0006541]; L-arginine biosynthetic process [GO:0006526]; pyrimidine nucleobase biosynthetic process [GO:0019856]	'de novo' UMP biosynthetic process [GO:0044205]; amino acid biosynthetic process [GO:0008652]; glutamine metabolic process [GO:0006541]; L-arginine biosynthetic process [GO:0006526]; pyrimidine nucleobase biosynthetic process [GO:0019856]	carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]; cytosol [GO:0005829]	amino acid binding [GO:0016597]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	GO:0000166; GO:0004087; GO:0004088; GO:0005524; GO:0005737; GO:0005829; GO:0005951; GO:0006526; GO:0006541; GO:0008652; GO:0016597; GO:0019856; GO:0044205; GO:0046872
P02358	reviewed	Small ribosomal subunit protein bS6 (30S ribosomal protein S6) [Cleaved into: Small ribosomal subunit protein bS6, fully modified isoform; Small ribosomal subunit protein bS6, non-modified isoform]	rpsF b4200 JW4158	Escherichia coli (strain K12)	135	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; mRNA 5'-UTR binding [GO:0048027]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]	cytoplasmic translation [GO:0002181]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]	mRNA 5'-UTR binding [GO:0048027]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]	GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0022627; GO:0048027; GO:0070181
P02359	reviewed	Small ribosomal subunit protein uS7 (30S ribosomal protein S7)	rpsG b3341 JW3303	Escherichia coli (strain K12)	179	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; ribosome [GO:0005840]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; cytoplasmic translation [GO:0002181]; negative regulation of translation [GO:0017148]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	cytoplasmic translation [GO:0002181]; negative regulation of translation [GO:0017148]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; ribosome [GO:0005840]	mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]	GO:0000028; GO:0000049; GO:0002181; GO:0003729; GO:0003735; GO:0005737; GO:0005829; GO:0005840; GO:0006412; GO:0016020; GO:0017148; GO:0019843; GO:0022627
P02916	reviewed	Maltose/maltodextrin transport system permease protein MalF	malF b4033 JW3993	Escherichia coli (strain K12)	514	ATP-binding cassette (ABC) transporter complex [GO:0043190]; enzyme IIA-maltose transporter complex [GO:1990154]; maltose transport complex [GO:1990060]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ABC-type maltose transporter activity [GO:0015423]; DNA damage response [GO:0006974]; maltodextrin transmembrane transport [GO:0042956]; maltose transport [GO:0015768]; negative regulation of maltose transport [GO:1902344]; negative regulation of transmembrane transport [GO:0034763]	DNA damage response [GO:0006974]; maltodextrin transmembrane transport [GO:0042956]; maltose transport [GO:0015768]; negative regulation of maltose transport [GO:1902344]; negative regulation of transmembrane transport [GO:0034763]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; enzyme IIA-maltose transporter complex [GO:1990154]; maltose transport complex [GO:1990060]; membrane [GO:0016020]; plasma membrane [GO:0005886]	ABC-type maltose transporter activity [GO:0015423]	GO:0005886; GO:0006974; GO:0015423; GO:0015768; GO:0016020; GO:0034763; GO:0042956; GO:0043190; GO:1902344; GO:1990060; GO:1990154
P02929	reviewed	Protein TonB	tonB exbA b1252 JW5195	Escherichia coli (strain K12)	239	cell envelope [GO:0030313]; cell outer membrane [GO:0009279]; membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; plasma membrane protein complex [GO:0098797]; transmembrane transporter complex [GO:1902495]; energy transducer activity [GO:0031992]; protein domain specific binding [GO:0019904]; cobalamin transport [GO:0015889]; colicin transport [GO:0042914]; intracellular iron ion homeostasis [GO:0006879]; intracellular monoatomic cation homeostasis [GO:0030003]; protein transport [GO:0015031]; receptor-mediated bacteriophage irreversible attachment to host cell [GO:0098002]; siderophore transport [GO:0015891]; transmembrane transport [GO:0055085]	cobalamin transport [GO:0015889]; colicin transport [GO:0042914]; intracellular iron ion homeostasis [GO:0006879]; intracellular monoatomic cation homeostasis [GO:0030003]; protein transport [GO:0015031]; receptor-mediated bacteriophage irreversible attachment to host cell [GO:0098002]; siderophore transport [GO:0015891]; transmembrane transport [GO:0055085]	cell envelope [GO:0030313]; cell outer membrane [GO:0009279]; membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; plasma membrane protein complex [GO:0098797]; transmembrane transporter complex [GO:1902495]	energy transducer activity [GO:0031992]; protein domain specific binding [GO:0019904]	GO:0005886; GO:0006879; GO:0009279; GO:0015031; GO:0015889; GO:0015891; GO:0016020; GO:0019904; GO:0030003; GO:0030288; GO:0030313; GO:0031992; GO:0042914; GO:0055085; GO:0098002; GO:0098797; GO:1902495
