Entry	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
D4GWB3	reviewed	Zinc finger protein HVO_2753 (Small CPxCG-related zinc finger protein) (Zinc finger mu-protein HVO_2753) (Zn-ribbon RNA-binding protein)	HVO_2753 C498_09054	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	59	zinc ion binding [GO:0008270]; archaeal-type flagellum-dependent cell motility [GO:0097590]; single-species surface biofilm formation [GO:0090606]	archaeal-type flagellum-dependent cell motility [GO:0097590]; single-species surface biofilm formation [GO:0090606]		zinc ion binding [GO:0008270]	GO:0008270; GO:0090606; GO:0097590
D4GY98	reviewed	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligN ligA HVO_3000 C498_18165	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	699	cytosol [GO:0005829]; DNA binding [GO:0003677]; DNA ligase (NAD+) activity [GO:0003911]; metal ion binding [GO:0046872]; DNA repair [GO:0006281]; DNA replication [GO:0006260]	DNA repair [GO:0006281]; DNA replication [GO:0006260]	cytosol [GO:0005829]	DNA binding [GO:0003677]; DNA ligase (NAD+) activity [GO:0003911]; metal ion binding [GO:0046872]	GO:0003677; GO:0003911; GO:0005829; GO:0006260; GO:0006281; GO:0046872
D4GYE0	reviewed	Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)	fba HVO_1494 C498_11261	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	330	fructose-bisphosphate aldolase activity [GO:0004332]; zinc ion binding [GO:0008270]; glycolytic process [GO:0006096]	glycolytic process [GO:0006096]		fructose-bisphosphate aldolase activity [GO:0004332]; zinc ion binding [GO:0008270]	GO:0004332; GO:0006096; GO:0008270
D4GYG6	reviewed	Archaeal glycosylation protein Q	aglQ HVO_1523 C498_02965	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	371	cytoplasm [GO:0005737]; carbohydrate metabolic process [GO:0005975]; S-layer organization [GO:0045232]	carbohydrate metabolic process [GO:0005975]; S-layer organization [GO:0045232]	cytoplasm [GO:0005737]		GO:0005737; GO:0005975; GO:0045232
D4GYH4	reviewed	Dolichyl-monophosphooligosaccharide--protein glycotransferase AglB (EC 2.4.99.21) (Archaeal glycosylation protein B) (Dolichyl-phosphooligosaccharide-protein glycotransferase) (Oligosaccharyl transferase) (OST) (OTase) (Oligosaccharyl transferase AglB)	aglB HVO_1530	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	1054	plasma membrane [GO:0005886]; glycosyltransferase activity [GO:0016757]; metal ion binding [GO:0046872]; oligosaccharyl transferase activity [GO:0004576]; protein glycosylation [GO:0006486]; S-layer organization [GO:0045232]	protein glycosylation [GO:0006486]; S-layer organization [GO:0045232]	plasma membrane [GO:0005886]	glycosyltransferase activity [GO:0016757]; metal ion binding [GO:0046872]; oligosaccharyl transferase activity [GO:0004576]	GO:0004576; GO:0005886; GO:0006486; GO:0016757; GO:0045232; GO:0046872
D4GYI2	reviewed	Anaerobic glycerol-3-phosphate dehydrogenase subunit A1 (G-3-P dehydrogenase A1) (G3PDH A1) (EC 1.1.5.3)	gpdA1 HVO_1538	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	586	glycerol-3-phosphate dehydrogenase (FAD) complex [GO:0009331]; plasma membrane [GO:0005886]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; glycerol-3-phosphate dehydrogenase (quinone) activity [GO:0004368]; glycerol catabolic process [GO:0019563]; glycerol-3-phosphate metabolic process [GO:0006072]	glycerol catabolic process [GO:0019563]; glycerol-3-phosphate metabolic process [GO:0006072]	glycerol-3-phosphate dehydrogenase (FAD) complex [GO:0009331]; plasma membrane [GO:0005886]	flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; glycerol-3-phosphate dehydrogenase (quinone) activity [GO:0004368]	GO:0004368; GO:0005886; GO:0006072; GO:0009331; GO:0010181; GO:0019563; GO:0050660
D4GYV5	reviewed	Cysteine desulfurase (EC 2.8.1.7) (Selenocysteine lyase) (EC 4.4.1.16)	sufS HVO_0109 C498_18783	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	426	cysteine desulfurase activity [GO:0031071]; pyridoxal phosphate binding [GO:0030170]; selenocysteine lyase activity [GO:0009000]; cysteine metabolic process [GO:0006534]	cysteine metabolic process [GO:0006534]		cysteine desulfurase activity [GO:0031071]; pyridoxal phosphate binding [GO:0030170]; selenocysteine lyase activity [GO:0009000]	GO:0006534; GO:0009000; GO:0030170; GO:0031071
D4GYZ1	reviewed	Proteasome subunit beta (EC 3.4.25.1) (20S proteasome beta subunit) (Proteasome core protein PsmB)	psmB HVO_1562	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	243	cytoplasm [GO:0005737]; proteasome core complex, beta-subunit complex [GO:0019774]; endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]; proteasomal protein catabolic process [GO:0010498]	proteasomal protein catabolic process [GO:0010498]	cytoplasm [GO:0005737]; proteasome core complex, beta-subunit complex [GO:0019774]	endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]	GO:0004175; GO:0004298; GO:0005737; GO:0010498; GO:0019774
D4GZE7	reviewed	Small archaeal modifier protein 2 (SAMP2) (Ubiquitin-like small archaeal modifier protein 2)	samp2 HVO_0202	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	66	nucleotide binding [GO:0000166]; protein tag activity [GO:0031386]; protein modification by small protein conjugation [GO:0032446]	protein modification by small protein conjugation [GO:0032446]		nucleotide binding [GO:0000166]; protein tag activity [GO:0031386]	GO:0000166; GO:0031386; GO:0032446
P25062	reviewed	Cell surface glycoprotein (S-layer glycoprotein)	csg cwd HVO_2072	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	827	extracellular region [GO:0005576]; plasma membrane [GO:0005886]; S-layer [GO:0030115]; cell wall organization [GO:0071555]	cell wall organization [GO:0071555]	extracellular region [GO:0005576]; plasma membrane [GO:0005886]; S-layer [GO:0030115]		GO:0005576; GO:0005886; GO:0030115; GO:0071555
Q48327	reviewed	Cell division protein FtsZ 1	ftsZ1 HVO_0717	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	379	cell division site [GO:0032153]; cytoplasm [GO:0005737]; cytoplasmic side of membrane [GO:0098562]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; cell division [GO:0051301]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]; regulation of cell shape [GO:0008360]	cell division [GO:0051301]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]; regulation of cell shape [GO:0008360]	cell division site [GO:0032153]; cytoplasm [GO:0005737]; cytoplasmic side of membrane [GO:0098562]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525; GO:0005737; GO:0008360; GO:0032153; GO:0043093; GO:0051258; GO:0051301; GO:0098562
Q9V2V5	reviewed	Proteasome subunit alpha 2 (20S proteasome alpha subunit 2) (Proteasome core protein PsmA 2)	psmA2 psmC HVO_2923	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	249	cytoplasm [GO:0005737]; proteasome core complex, alpha-subunit complex [GO:0019773]; endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]; proteasomal protein catabolic process [GO:0010498]; ubiquitin-dependent protein catabolic process [GO:0006511]	proteasomal protein catabolic process [GO:0010498]; ubiquitin-dependent protein catabolic process [GO:0006511]	cytoplasm [GO:0005737]; proteasome core complex, alpha-subunit complex [GO:0019773]	endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]	GO:0004175; GO:0004298; GO:0005737; GO:0006511; GO:0010498; GO:0019773
Q9V2V6	reviewed	Proteasome subunit alpha 1 (20S proteasome alpha subunit 1) (Proteasome core protein PsmA 1) [Cleaved into: Proteasome subunit alpha 1, N-terminally processed]	psmA1 psmA HVO_1091	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	252	cytoplasm [GO:0005737]; proteasome core complex, alpha-subunit complex [GO:0019773]; endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]; proteasomal protein catabolic process [GO:0010498]; ubiquitin-dependent protein catabolic process [GO:0006511]	proteasomal protein catabolic process [GO:0010498]; ubiquitin-dependent protein catabolic process [GO:0006511]	cytoplasm [GO:0005737]; proteasome core complex, alpha-subunit complex [GO:0019773]	endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]	GO:0004175; GO:0004298; GO:0005737; GO:0006511; GO:0010498; GO:0019773
A0A384KD45	unreviewed	Probable bifunctional tRNA threonylcarbamoyladenosine biosynthesis protein [Includes: tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (tRNA threonylcarbamoyladenosine biosynthesis protein Kae1) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein Kae1); Serine/threonine-protein kinase Bud32 (EC 2.7.11.1)]	C498_04740	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	552	cytoplasm [GO:0005737]; EKC/KEOPS complex [GO:0000408]; ATP binding [GO:0005524]; iron ion binding [GO:0005506]; metalloendopeptidase activity [GO:0004222]; N(6)-L-threonylcarbamoyladenine synthase activity [GO:0061711]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; zinc ion binding [GO:0008270]; tRNA threonylcarbamoyladenosine modification [GO:0002949]	tRNA threonylcarbamoyladenosine modification [GO:0002949]	cytoplasm [GO:0005737]; EKC/KEOPS complex [GO:0000408]	ATP binding [GO:0005524]; iron ion binding [GO:0005506]; metalloendopeptidase activity [GO:0004222]; N(6)-L-threonylcarbamoyladenine synthase activity [GO:0061711]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; zinc ion binding [GO:0008270]	GO:0000408; GO:0002949; GO:0004222; GO:0004674; GO:0004712; GO:0005506; GO:0005524; GO:0005737; GO:0008270; GO:0061711; GO:0106310
A0A384KDQ5	unreviewed	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase)	ilvC C498_11201	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	348	cytosol [GO:0005829]; isomerase activity [GO:0016853]; ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	cytosol [GO:0005829]	isomerase activity [GO:0016853]; ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]	GO:0000287; GO:0004455; GO:0005829; GO:0009097; GO:0009099; GO:0016853; GO:0050661
A0A384KYP0	unreviewed	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC C498_13444	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	386	phosphopantothenoylcysteine decarboxylase complex [GO:0071513]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]; coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	phosphopantothenoylcysteine decarboxylase complex [GO:0071513]	FMN binding [GO:0010181]; metal ion binding [GO:0046872]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]	GO:0004632; GO:0004633; GO:0010181; GO:0015937; GO:0015941; GO:0046872; GO:0071513
A0A384L097	unreviewed	Putative [LysW]-L-2-aminoadipate/[LysW]-L-glutamate phosphate reductase (EC 1.2.1.103) (EC 1.2.1.106)	argC lysY C498_18458	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	347	cytoplasm [GO:0005737]; N-acetyl-gamma-aminoadipyl-phosphate reductase activity [GO:0043870]; N-acetyl-gamma-glutamyl-phosphate reductase activity [GO:0003942]; NAD binding [GO:0051287]; NADP+ binding [GO:0070401]; L-arginine biosynthetic process via ornithine [GO:0042450]; lysine biosynthetic process via aminoadipic acid [GO:0019878]	L-arginine biosynthetic process via ornithine [GO:0042450]; lysine biosynthetic process via aminoadipic acid [GO:0019878]	cytoplasm [GO:0005737]	N-acetyl-gamma-aminoadipyl-phosphate reductase activity [GO:0043870]; N-acetyl-gamma-glutamyl-phosphate reductase activity [GO:0003942]; NAD binding [GO:0051287]; NADP+ binding [GO:0070401]	GO:0003942; GO:0005737; GO:0019878; GO:0042450; GO:0043870; GO:0051287; GO:0070401
