Entry	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
A0A2S5SZU9	unreviewed	HTH-type transcriptional regulator MetR	C1702_18140 EV676_1206	Caldimonas thermodepolymerans	304	cytoplasm [GO:0005737]; DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; methionine biosynthetic process [GO:0009086]	methionine biosynthetic process [GO:0009086]	cytoplasm [GO:0005737]	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]	GO:0000976; GO:0003700; GO:0005737; GO:0009086
A0A2S5SZV2	unreviewed	UPF0056 membrane protein	C1702_17830 EV676_11351	Caldimonas thermodepolymerans	211	plasma membrane [GO:0005886]		plasma membrane [GO:0005886]		GO:0005886
A0A2S5SZV4	unreviewed	Kynurenine formamidase (KFA) (KFase) (EC 3.5.1.9) (Arylformamidase) (N-formylkynurenine formamidase) (FKF)	kynB C1702_17975 EV676_106149	Caldimonas thermodepolymerans	208	arylformamidase activity [GO:0004061]; formamidase activity [GO:0004328]; zinc ion binding [GO:0008270]; L-tryptophan catabolic process to kynurenine [GO:0019441]	L-tryptophan catabolic process to kynurenine [GO:0019441]		arylformamidase activity [GO:0004061]; formamidase activity [GO:0004328]; zinc ion binding [GO:0008270]	GO:0004061; GO:0004328; GO:0008270; GO:0019441
A0A2S5SZV5	unreviewed	Hemerythrin	C1702_17920	Caldimonas thermodepolymerans	139	metal ion binding [GO:0046872]			metal ion binding [GO:0046872]	GO:0046872
A0A2S5SZV8	unreviewed	Dihydroorotase (DHOase) (EC 3.5.2.3)	pyrC C1702_18115	Caldimonas thermodepolymerans	345	cytosol [GO:0005829]; dihydroorotase activity [GO:0004151]; zinc ion binding [GO:0008270]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]	cytosol [GO:0005829]	dihydroorotase activity [GO:0004151]; zinc ion binding [GO:0008270]	GO:0004151; GO:0005829; GO:0006207; GO:0008270; GO:0044205
A0A2S5SZV9	unreviewed	Uncharacterized protein	C1702_18085	Caldimonas thermodepolymerans	69					
A0A2S5SZW0	unreviewed	Small ribosomal subunit protein uS7	rpsG C1702_17715 EV676_11035	Caldimonas thermodepolymerans	156	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]	translation [GO:0006412]	small ribosomal subunit [GO:0015935]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]	GO:0000049; GO:0003735; GO:0006412; GO:0015935; GO:0019843
A0A2S5SZW1	unreviewed	Large ribosomal subunit protein uL1	rplA C1702_17755 EV676_11027	Caldimonas thermodepolymerans	235	cytosolic large ribosomal subunit [GO:0022625]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; regulation of translation [GO:0006417]; translation [GO:0006412]	regulation of translation [GO:0006417]; translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]	GO:0000049; GO:0003735; GO:0006412; GO:0006417; GO:0019843; GO:0022625
A0A2S5SZW2	unreviewed	Uncharacterized protein	C1702_17805	Caldimonas thermodepolymerans	145					
A0A2S5SZW4	unreviewed	Protein ApaG	apaG C1702_17885 EV676_10414	Caldimonas thermodepolymerans	125	error-free translesion synthesis [GO:0070987]	error-free translesion synthesis [GO:0070987]			GO:0070987
A0A2S5SZW8	unreviewed	ABC transporter ATP-binding protein	C1702_17660 EV676_10428	Caldimonas thermodepolymerans	236	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; branched-chain amino acid transmembrane transporter activity [GO:0015658]; L-amino acid transport [GO:0015807]	L-amino acid transport [GO:0015807]	plasma membrane [GO:0005886]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; branched-chain amino acid transmembrane transporter activity [GO:0015658]	GO:0005524; GO:0005886; GO:0015658; GO:0015807; GO:0016887
A0A2S5SZW9	unreviewed	Transcription termination/antitermination protein NusG	nusG C1702_17765 EV676_11025	Caldimonas thermodepolymerans	189	cytosol [GO:0005829]; DNA-templated transcription elongation [GO:0006354]; DNA-templated transcription termination [GO:0006353]; regulation of DNA-templated transcription elongation [GO:0032784]; transcription antitermination [GO:0031564]	DNA-templated transcription elongation [GO:0006354]; DNA-templated transcription termination [GO:0006353]; regulation of DNA-templated transcription elongation [GO:0032784]; transcription antitermination [GO:0031564]	cytosol [GO:0005829]		GO:0005829; GO:0006353; GO:0006354; GO:0031564; GO:0032784
A0A2S5SZX0	unreviewed	ShlB/FhaC/HecB family hemolysin secretion/activation protein	C1702_17860	Caldimonas thermodepolymerans	566	cell outer membrane [GO:0009279]; type V protein secretion system complex [GO:0098046]; protein transmembrane transporter activity [GO:0008320]; protein secretion by the type V secretion system [GO:0046819]	protein secretion by the type V secretion system [GO:0046819]	cell outer membrane [GO:0009279]; type V protein secretion system complex [GO:0098046]	protein transmembrane transporter activity [GO:0008320]	GO:0008320; GO:0009279; GO:0046819; GO:0098046
A0A2S5SZX1	unreviewed	Carrier domain-containing protein	C1702_18045	Caldimonas thermodepolymerans	79					
A0A2S5SZX2	unreviewed	CsbD family protein	C1702_18020 EV676_1087	Caldimonas thermodepolymerans	66					
A0A2S5SZX5	unreviewed	Meso-butanediol dehydrogenase/(S,S)-butanediol dehydrogenase/diacetyl reductase	C1702_17940 EV676_1043	Caldimonas thermodepolymerans	251	oxidoreductase activity [GO:0016491]			oxidoreductase activity [GO:0016491]	GO:0016491
A0A2S5SZX7	unreviewed	Uncharacterized protein	C1702_18200	Caldimonas thermodepolymerans	72					
A0A2S5SZX8	unreviewed	Amino acid/amide ABC transporter membrane protein 1 (HAAT family) (Branched-chain amino acid ABC transporter permease)	C1702_17670 EV676_10426	Caldimonas thermodepolymerans	295	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; amino acid transport [GO:0006865]	amino acid transport [GO:0006865]	plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0006865; GO:0022857
A0A2S5SZX9	unreviewed	Cupin (Gentisate 1,2-dioxygenase)	C1702_17530 EV676_1102	Caldimonas thermodepolymerans	336	dioxygenase activity [GO:0051213]			dioxygenase activity [GO:0051213]	GO:0051213
A0A2S5SZY0	unreviewed	Large ribosomal subunit protein bL12	rplL C1702_17745 EV676_11029	Caldimonas thermodepolymerans	125	cytosolic large ribosomal subunit [GO:0022625]; mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]	GO:0003729; GO:0003735; GO:0006412; GO:0022625
A0A2S5SZY2	unreviewed	Uncharacterized protein	C1702_17825 EV676_11352	Caldimonas thermodepolymerans	125					
A0A2S5SZY3	unreviewed	dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) (Thymidine diphospho-4-keto-rhamnose 3,5-epimerase)	rfbC C1702_18040	Caldimonas thermodepolymerans	183	cytosol [GO:0005829]; dTDP-4-dehydrorhamnose 3,5-epimerase activity [GO:0008830]; dTDP-rhamnose biosynthetic process [GO:0019305]; polysaccharide biosynthetic process [GO:0000271]	dTDP-rhamnose biosynthetic process [GO:0019305]; polysaccharide biosynthetic process [GO:0000271]	cytosol [GO:0005829]	dTDP-4-dehydrorhamnose 3,5-epimerase activity [GO:0008830]	GO:0000271; GO:0005829; GO:0008830; GO:0019305
A0A2S5SZY5	unreviewed	Chemotaxis protein CheW	C1702_18150	Caldimonas thermodepolymerans	178	cytosol [GO:0005829]; chemotaxis [GO:0006935]; signal transduction [GO:0007165]	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	cytosol [GO:0005829]		GO:0005829; GO:0006935; GO:0007165
A0A2S5SZY7	unreviewed	Fumarylacetoacetase (Fumarylpyruvate hydrolase)	C1702_17580 EV676_11012	Caldimonas thermodepolymerans	233	acetylpyruvate hydrolase activity [GO:0018773]; metal ion binding [GO:0046872]			acetylpyruvate hydrolase activity [GO:0018773]; metal ion binding [GO:0046872]	GO:0018773; GO:0046872
A0A2S5SZY8	unreviewed	Tryptophan 2,3-dioxygenase (TDO) (EC 1.13.11.11) (Tryptamin 2,3-dioxygenase) (Tryptophan oxygenase) (TO) (TRPO) (Tryptophan pyrrolase) (Tryptophanase)	kynA C1702_17985 EV676_106151	Caldimonas thermodepolymerans	282	heme binding [GO:0020037]; metal ion binding [GO:0046872]; tryptophan 2,3-dioxygenase activity [GO:0004833]; L-tryptophan catabolic process to acetyl-CoA [GO:0019442]; L-tryptophan catabolic process to kynurenine [GO:0019441]	L-tryptophan catabolic process to acetyl-CoA [GO:0019442]; L-tryptophan catabolic process to kynurenine [GO:0019441]		heme binding [GO:0020037]; metal ion binding [GO:0046872]; tryptophan 2,3-dioxygenase activity [GO:0004833]	GO:0004833; GO:0019441; GO:0019442; GO:0020037; GO:0046872
A0A2S5SZY9	unreviewed	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase in catechol pathway (FAA hydrolase family protein)	C1702_17540 EV676_1104	Caldimonas thermodepolymerans	286	hydrolase activity [GO:0016787]; small molecule metabolic process [GO:0044281]	small molecule metabolic process [GO:0044281]		hydrolase activity [GO:0016787]	GO:0016787; GO:0044281
A0A2S5SZZ0	unreviewed	Uncharacterized protein	C1702_17645	Caldimonas thermodepolymerans	328					
A0A2S5SZZ1	unreviewed	Glycine zipper family protein	C1702_17865 EV676_10419	Caldimonas thermodepolymerans	193	outer membrane [GO:0019867]		outer membrane [GO:0019867]		GO:0019867
A0A2S5SZZ2	unreviewed	Elongation factor G (EF-G)	fusA C1702_17710	Caldimonas thermodepolymerans	701	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; guanosine tetraphosphate binding [GO:0097216]; translation elongation factor activity [GO:0003746]; ribosome disassembly [GO:0032790]	ribosome disassembly [GO:0032790]	cytoplasm [GO:0005737]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; guanosine tetraphosphate binding [GO:0097216]; translation elongation factor activity [GO:0003746]	GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0032790; GO:0097216
A0A2S5SZZ5	unreviewed	IS481 family transposase	C1702_18055	Caldimonas thermodepolymerans	321	endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]		endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004519; GO:0006310; GO:0015074; GO:0046872
A0A2S5SZZ6	unreviewed	Thiosulfate oxidation carrier complex protein SoxZ	soxZ C1702_17420	Caldimonas thermodepolymerans	99					
A0A2S5SZZ8	unreviewed	Phosphoglycolate phosphatase (PGP) (PGPase) (EC 3.1.3.18)	gph C1702_17895 EV676_10412	Caldimonas thermodepolymerans	223	cytosol [GO:0005829]; metal ion binding [GO:0046872]; phosphoglycolate phosphatase activity [GO:0008967]; DNA repair [GO:0006281]; glycolate biosynthetic process [GO:0046295]; reductive pentose-phosphate cycle [GO:0019253]	DNA repair [GO:0006281]; glycolate biosynthetic process [GO:0046295]; reductive pentose-phosphate cycle [GO:0019253]	cytosol [GO:0005829]	metal ion binding [GO:0046872]; phosphoglycolate phosphatase activity [GO:0008967]	GO:0005829; GO:0006281; GO:0008967; GO:0019253; GO:0046295; GO:0046872
A0A2S5SZZ9	unreviewed	AsnC family transcriptional regulator	C1702_17695	Caldimonas thermodepolymerans	160	cytosol [GO:0005829]; sequence-specific DNA binding [GO:0043565]; regulation of DNA-templated transcription [GO:0006355]; response to amino acid [GO:0043200]	regulation of DNA-templated transcription [GO:0006355]; response to amino acid [GO:0043200]	cytosol [GO:0005829]	sequence-specific DNA binding [GO:0043565]	GO:0005829; GO:0006355; GO:0043200; GO:0043565
A0A2S5T000	unreviewed	Iron-sulfur containing oxygenase	C1702_17915	Caldimonas thermodepolymerans	422	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]			2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]	GO:0046872; GO:0051537
A0A2S5T001	unreviewed	Anthranilate synthase component 2 (Anthranilate/aminodeoxychorismate synthase component II (EC 4.1.3.27))	C1702_17590 EV676_11015	Caldimonas thermodepolymerans	190	cytosol [GO:0005829]; anthranilate synthase activity [GO:0004049]; L-tryptophan biosynthetic process [GO:0000162]	L-tryptophan biosynthetic process [GO:0000162]	cytosol [GO:0005829]	anthranilate synthase activity [GO:0004049]	GO:0000162; GO:0004049; GO:0005829
A0A2S5T002	unreviewed	Large ribosomal subunit protein uL11	rplK C1702_17760 EV676_11026	Caldimonas thermodepolymerans	143	cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0006412; GO:0022625; GO:0070180
A0A2S5T005	unreviewed	UDP-glucose 6-dehydrogenase	C1702_18000	Caldimonas thermodepolymerans	29					
A0A2S5T006	unreviewed	Methyl-accepting chemotaxis protein	C1702_18165	Caldimonas thermodepolymerans	88					
A0A2S5T007	unreviewed	Molybdopterin molybdenumtransferase (EC 2.10.1.1)	C1702_17470 EV676_105206	Caldimonas thermodepolymerans	433	cytosol [GO:0005829]; metal ion binding [GO:0046872]; molybdopterin molybdotransferase activity [GO:0061599]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	cytosol [GO:0005829]	metal ion binding [GO:0046872]; molybdopterin molybdotransferase activity [GO:0061599]	GO:0005829; GO:0006777; GO:0046872; GO:0061599
A0A2S5T008	unreviewed	4,5-dihydroxyphthalate decarboxylase	C1702_17950	Caldimonas thermodepolymerans	38					
A0A2S5T009	unreviewed	Choline dehydrogenase	C1702_17800	Caldimonas thermodepolymerans	561	flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]			flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]	GO:0016614; GO:0050660
A0A2S5T010	unreviewed	3-hydroxybenzoate 6-hydroxylase (EC 1.14.13.24)	C1702_17570 EV676_11010	Caldimonas thermodepolymerans	400	membrane [GO:0016020]; FAD binding [GO:0071949]; monooxygenase activity [GO:0004497]		membrane [GO:0016020]	FAD binding [GO:0071949]; monooxygenase activity [GO:0004497]	GO:0004497; GO:0016020; GO:0071949
A0A2S5T011	unreviewed	ABC transporter permease (Amino acid/amide ABC transporter substrate-binding protein (HAAT family))	C1702_17665 EV676_10427	Caldimonas thermodepolymerans	403					
A0A2S5T013	unreviewed	Diguanylate cyclase	C1702_17430	Caldimonas thermodepolymerans	813	cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]; cellular response to nitric oxide [GO:0071732]; regulation of DNA-templated transcription [GO:0006355]	cellular response to nitric oxide [GO:0071732]; regulation of DNA-templated transcription [GO:0006355]		cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]	GO:0006355; GO:0071111; GO:0071732
A0A2S5T015	unreviewed	YkgJ family cysteine cluster protein	C1702_17965 EV676_106147	Caldimonas thermodepolymerans	115					
A0A2S5T016	unreviewed	Glyoxalase	C1702_18110	Caldimonas thermodepolymerans	144					
A0A2S5T017	unreviewed	Invasion-associated locus B family protein	C1702_17855	Caldimonas thermodepolymerans	189					
A0A2S5T018	unreviewed	NAD(P)-dependent dehydrogenase (Short-subunit alcohol dehydrogenase family) (Oxidoreductase)	C1702_17835 EV676_11350	Caldimonas thermodepolymerans	248	oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]			oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]	GO:0016614
A0A2S5T019	unreviewed	DNA polymerase III tau subunit domain-containing protein	C1702_17520	Caldimonas thermodepolymerans	173	DNA-directed DNA polymerase activity [GO:0003887]			DNA-directed DNA polymerase activity [GO:0003887]	GO:0003887
A0A2S5T020	unreviewed	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase)	sucA C1702_17410	Caldimonas thermodepolymerans	952	cytosol [GO:0005829]; oxoglutarate dehydrogenase complex [GO:0045252]; oxoglutarate dehydrogenase (succinyl-transferring) activity [GO:0004591]; thiamine pyrophosphate binding [GO:0030976]; glycolytic process [GO:0006096]; tricarboxylic acid cycle [GO:0006099]	glycolytic process [GO:0006096]; tricarboxylic acid cycle [GO:0006099]	cytosol [GO:0005829]; oxoglutarate dehydrogenase complex [GO:0045252]	oxoglutarate dehydrogenase (succinyl-transferring) activity [GO:0004591]; thiamine pyrophosphate binding [GO:0030976]	GO:0004591; GO:0005829; GO:0006096; GO:0006099; GO:0030976; GO:0045252
A0A2S5T021	unreviewed	NADH:flavin oxidoreductase	C1702_17535	Caldimonas thermodepolymerans	891	FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]			FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]	GO:0010181; GO:0016491
A0A2S5T022	unreviewed	Efflux transporter periplasmic adaptor subunit (Membrane fusion protein (Multidrug efflux system))	C1702_17480 EV676_105204	Caldimonas thermodepolymerans	407	efflux pump complex [GO:1990281]; efflux transmembrane transporter activity [GO:0015562]		efflux pump complex [GO:1990281]	efflux transmembrane transporter activity [GO:0015562]	GO:0015562; GO:1990281
